sample-id,absolute-filepath,direction
SRR17301794,/workspaces/training/qiimepipe2/fastqs/SRR17301794_1.fastq,forward
SRR17301794,/workspaces/training/qiimepipe2/fastqs/SRR17301794_2.fastq,reverse
SRR17301795,/workspaces/training/qiimepipe2/fastqs/SRR17301795_1.fastq,forward
SRR17301795,/workspaces/training/qiimepipe2/fastqs/SRR17301795_2.fastq,reverse
SRR17301796,/workspaces/training/qiimepipe2/fastqs/SRR17301796_1.fastq,forward
SRR17301796,/workspaces/training/qiimepipe2/fastqs/SRR17301796_2.fastq,reverse
SRR17301797,/workspaces/training/qiimepipe2/fastqs/SRR17301797_1.fastq,forward
SRR17301797,/workspaces/training/qiimepipe2/fastqs/SRR17301797_2.fastq,reverse
SRR17301807,/workspaces/training/qiimepipe2/fastqs/SRR17301807_1.fastq,forward
SRR17301807,/workspaces/training/qiimepipe2/fastqs/SRR17301807_2.fastq,reverse
SRR17301808,/workspaces/training/qiimepipe2/fastqs/SRR17301808_1.fastq,forward
SRR17301808,/workspaces/training/qiimepipe2/fastqs/SRR17301808_2.fastq,reverse
SRR17301809,/workspaces/training/qiimepipe2/fastqs/SRR17301809_1.fastq,forward
SRR17301809,/workspaces/training/qiimepipe2/fastqs/SRR17301809_2.fastq,reverse
SRR17301810,/workspaces/training/qiimepipe2/fastqs/SRR17301810_1.fastq,forward
SRR17301810,/workspaces/training/qiimepipe2/fastqs/SRR17301810_2.fastq,reverse
SRR28720576,/workspaces/training/qiimepipe2/fastqs/SRR28720576_1.fastq,forward
SRR28720576,/workspaces/training/qiimepipe2/fastqs/SRR28720576_2.fastq,reverse
SRR28720577,/workspaces/training/qiimepipe2/fastqs/SRR28720577_1.fastq,forward
SRR28720577,/workspaces/training/qiimepipe2/fastqs/SRR28720577_2.fastq,reverse
SRR28720581,/workspaces/training/qiimepipe2/fastqs/SRR28720581_1.fastq,forward
SRR28720581,/workspaces/training/qiimepipe2/fastqs/SRR28720581_2.fastq,reverse
SRR28720582,/workspaces/training/qiimepipe2/fastqs/SRR28720582_1.fastq,forward
SRR28720582,/workspaces/training/qiimepipe2/fastqs/SRR28720582_2.fastq,reverse
